Last Name,First Name,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,,,,,,,,,,,
Giavazzi,Francesco,Uncertain,5,,,Uncertain,5,,,,,,,,,,,,,
Griffith,Rachel,Agree,7,,,Uncertain,2,,,,,,,,,,,,,
Guerrieri,Veronica,Uncertain,6,,,Agree,6,,,,,,,,,,,,,
Guiso,Luigi,Uncertain,5,,,Agree,8,,,,,,,,,,,,,
Guriev,Sergei,Agree,6,,,Uncertain,8,The impact on other sectors depends on the quality of economic and political institutions and on policy response to the boom.,,,,,,,,,,,,
Honohan,Patrick,Agree,6,Some cross-border frictions are usual.  The almost frictionless situation in the EU is the exception -- Brexit displays the result.   ,,Agree,7,"Due not only to sectoral competition for labour, but also to the way natural resources tend to attract venal politicians.",,,,,,,,,,,,
Javorcik,Beata,Strongly Agree,9,,,Agree,8,,,,,,,,,,,,,
Kőszegi,Botond,Agree,4,,,Agree,6,,,,,,,,,,,,,
Krahnen,Jan Pieter,Agree,1,An example can always be constructed that confirms the statement - the question is whether it generalizes to very generic settings,,Uncertain,4,It all depends whether or not the other sectors can adjust smoothly to the rise in factor prices driven by the boom in some sectors.,,,,,,,,,,,,
La Ferrara,Eliana,Agree,3,,,Agree,5,,,,,,,,,,,,,
Leuz,Christian,Agree,2,,,Agree,3,,,,,,,,,,,,,
Mayer,Thierry,Strongly Agree,9,,,Strongly Agree,9,,,,,,,,,,,,,
Meghir,Costas,Agree,9,,,Uncertain,9,,,,,,,,,,,,,
Pagano,Marco,Agree,7,,,Agree,4,"It very much depends on the economic policy response: see Norway as a counter-example to the well-known ""curse of raw materials""...",,,,,,,,,,,,
Pastor,Lubos,Uncertain,3,,,Agree,4,,,,,,,,,,,,,
Persson,Torsten,Agree,6,,,Uncertain,6,"Hinges on economic and political structure (resource curse can operate via politics). Norway may not be hit, even though Nigeria may be. ",,,,,,,,,,,,
Pissarides,Christopher,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Portes,Richard,Strongly Agree,8,,,Agree,8,,,,,,,,,,,,,
Prendergast,Canice,Agree,6,,,Uncertain,7,,,,,,,,,,,,,
Propper,Carol,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Rasul,Imran,Agree,6,,,Agree,5,,,,,,,,,,,,,
Reichlin,Lucrezia,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Reis,Ricardo,Strongly Agree,7,"""Significant"" is in the eye of the beholder, but literature has quantified multiple relevant channels","https://ideas.repec.org/p/cpr/ceprdp/9398.html, https://www.aeaweb.org/articles?id=10.1257/jep.32.2.3 ",Uncertain,7,"It seems to depend on the country's circumstances, and especially on the policies adopted in response.","https://www.nber.org/system/files/working_papers/w15836/w15836.pdf, https://cepr.org/active/publications/discussion_papers/dp.php?dpno=15271, https://academic.oup.com/restud/article-abstract/85/2/695/4055596",,,,,,,,,,,
Repullo,Rafael,No Opinion,,,,Agree,4,,,,,,,,,,,,,
Rey,Hélène,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Schoar,Antoinette,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Storesletten,Kjetil,Uncertain,3,,,Strongly Disagree,9,Manufacturing firms can benefit from a resource boom if they can provide equipment servicing resource industry. Norway provides an example,,,,,,,,,,,,
Sturm,Daniel,Strongly Agree,8,,,Agree,8,,,,,,,,,,,,,
Van Reenen,John,Agree,5,,,Agree,6,,,,,,,,,,,,,
Vickers,John,Uncertain,3,,,Agree,4,,,,,,,,,,,,,
Voth,Hans-Joachim,Uncertain,5,,,Agree,4,,,,,,,,,,,,,
Whelan,Karl,Did Not Answer,,,,Did Not Answer,,,,,,,,,,,,,,
Wyplosz,Charles,Uncertain,2,,,Strongly Agree,9,"aka Dutch Disease. Unless government owns resource and invest proceeding abroad, the Norwegian way.",,,,,,,,,,,,
Zilibotti,Fabrizio,Strongly Agree,9,,,Agree,7,,,,,,,,,,,,,
