V3,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9
"Krahnen, Jan Pieter",Disagree,5,"The policy will require significant public and private investments, allowing for knock-on effects that are likely to spur growth.",,Disagree,5,"The big difference is the ""cap"" - without it, taxes may distort investment and consumption, but will not necessarily reduce emissions. ",
"La Ferrara, Eliana",Disagree,2,,,Disagree,3,"Cap-and-trade allows to better control total amount of emissions. Also, in Europe carbon taxes pose greater political economy problems",
"Leuz, Christian",Uncertain,2,Likely a drag but hard to know how large. Goals have consequences for competitiveness & require large investments.,,Agree,3,"Tax has some advantages (link), but no clear dominance. Cap&trade may be politically easier to implement. Either one better than status quo.",https://www.worldscientific.com/doi/abs/10.1142/S2010007813500103
"Mayer, Thierry",Disagree,6,,,Uncertain,3,,
"Meghir, Costas",Uncertain,5,"Zero emissions can be achieved in many ways - innovation, change in structure of tax without increases, are neutral or enhance growth.",,Agree,7,,
"Neary, Peter",Uncertain,4,Growth may be lower; but could be lower still if environmental degradation proceeds unchecked. Markets undevalue environmental quality,,Uncertain,5,"Both are good alternatives to command-and-control, incentivizing concern for environmental quality. The choice between them is contingent",https://www.jstor.org/stable/2296698
"O'Rourke, Kevin",Strongly Disagree,7,,,Uncertain,5,,
"Pagano, Marco",Uncertain,1,,,Uncertain,1,,
"Pastor, Lubos",Disagree,3,It will be a drag on brown growth but a boost for green growth.,,Uncertain,3,,
"Persson, Torsten",Disagree,4,,,Agree,5,,
"Pissarides, Christopher",Disagree,7,Switching to lower or zero emissions will create jobs that will offset any negative effects on GDP ,,Agree,8,Both are needed. If I had to choose one only I would choose taxes,
"Portes, Richard",Uncertain,5,,,Strongly Agree,5,,
"Prendergast, Canice",Uncertain,9,,,Agree,8,,
"Reichlin, Lucrezia",Disagree,6,,,Agree,5,,
"Repullo, Rafael",Disagree,4,,,Agree,6,,
"Rey, Hélène",Uncertain,8,"This all depends how we get there. If major EU coordinated investments, R&D and leadership role, costs will be mitigated",,Agree,9,Best way is predictably rising carbon price path with redistribution of carbon dividend and accompanying investments,
"Schoar, Antoinette",Uncertain,8,,,Disagree,7,Either can be effective depending on the enforcement environment and industry structure within a country.,
"Sturm, Daniel",Disagree,6,,,Agree,8,,
"Van Reenen, John",Disagree,7,My 2016 JPE paper with Aghion et al showed how carbon taxes (and R&D policies) could direct technical change towards cleaner innovation,http://cep.lse.ac.uk/pubs/download/dp1178.pdf,Agree,6,,
"Vickers, John",Uncertain,4,,,Agree,6,,
"Voth, Hans-Joachim",Agree,5,,,Strongly Disagree,6,,
"Weder di Mauro, Beatrice",Strongly Disagree,8,All depends on how it is implemented. With a credible pathway it could  boost public and private investment while reallocating capital.  ,,Disagree,9,,
"Whelan, Karl",Did Not Answer,,,,Did Not Answer,,,
"Wyplosz, Charles",Agree,7,"It will a drag, but major? We don't yet know what policies will be chosen so we can't guess about their impact.",,Strongly Agree,8,Carbon tax does the right thing (if set on a correct rising schedule) and brings money. Cap and trade can be manipulated. ,
"Zilibotti, Fabrizio",Disagree,9,,,Agree,9,,
