V3,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
"Reichlin, Lucrezia",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Repullo, Rafael",Disagree,4,,,Agree,4,,,Disagree,4,,
"Rey, Hélène",Strongly Agree,8,For example carbon is not properly priced. ,,Agree,7,Some cost cutting decisions are often very short term and destroy value in the long run. Example: fraud (diesel emissions scandal),,Disagree,7,Needs a lot of information and to design proper incentive mechanisms,
"Schoar, Antoinette",Strongly Disagree,9,,,Uncertain,7,,,Strongly Disagree,10,,
"Sturm, Daniel",Agree,7,,,Agree,7,,,Disagree,7,,
"Van Reenen, John",Agree,6,,,Agree,5,,,Disagree,6,,
"Vickers, John",Uncertain,5,Uncertain because much depends on surrounding public policies towards such externalities.,,Uncertain,5,,,Strongly Disagree,4,,
"Voth, Hans-Joachim",Strongly Agree,8,,,Agree,7,,,Agree,6,,
"Weder di Mauro, Beatrice",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
"Whelan, Karl",Uncertain,5,This could be the case (e.g. if profit maximizing involved polluting the environment) but these cases are best dealt with via regulation.,,Disagree,4,I'm not sure there is sufficient empirical evidence to back up this statement.,,Strongly Disagree,8,Why would this be easy? It's a really complex issue.,
"Wyplosz, Charles",Uncertain,1,,,Agree,1,,,Agree,1,,
"Zilibotti, Fabrizio",Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,
