Last Name,First Name,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12,Q14,Q16,,,,
Rey,Hélène,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Schoar,Antoinette,Agree,7,,,Agree,8,,,Strongly Agree,8,,,,,,
Storesletten,Kjetil,Strongly Agree,7,,,Agree,7,Short positions around dividend dates can help avoid dividend taxation. Disclosure of short positions would mitigate this tax avoidance,,Uncertain,6,It cuts both ways: facilitating short positions during crisis would allow more information aggregation  but could also feed exuberance,,,,,
Sturm,Daniel,Uncertain,3,,,Uncertain,3,,,Uncertain,3,,,,,,
Van Reenen,John,Agree,5,,,Agree,5,,,Disagree,5,,,,,,
Vickers,John,Agree,4,,,Uncertain,2,,,Agree,4,,,,,,
Voth,Hans-Joachim,Strongly Agree,10,,,Disagree,8,,,Strongly Agree,10,,,,,,
Whelan,Karl,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
Wyplosz,Charles,Uncertain,2,,,Agree,2,,,Uncertain,2,,,,,,
Zilibotti,Fabrizio,Did Not Answer,,,,Did Not Answer,,,,Did Not Answer,,,,,,,
,,,,,,,,,,,,,,,,,
